trip_id,place_id,time
trip_0,Haacklee Ferry Terminal,0040-04-24 21:00:00
trip_0,South Paackland Ferry Terminal,0040-04-24 19:00:00
trip_0,582184557,0040-04-24 16:17:00
trip_0,581853838,0040-04-24 16:17:00
trip_1,37830690,2040-06-16 06:29:00
trip_1,37826661,2040-06-16 10:38:00
trip_1,37892464,2040-06-16 12:36:00
trip_2,950773347,2040-06-28 08:23:00
trip_3,Suna Spit,2040-06-06 07:59:00
trip_3,36988183,2040-06-06 07:45:00
trip_3,35868389,2040-06-06 07:28:00
trip_3,2519420987,2040-06-06 07:59:00
trip_4,37826661,2040-07-17 09:51:00
trip_4,37831223,2040-07-17 09:51:00
trip_4,2564318352,2040-07-17 14:42:00
trip_5,Haacklee Ferry Terminal,0040-07-24 21:00:00
trip_5,South Paackland Ferry Terminal,0040-07-24 19:00:00
trip_5,582184557,0040-07-24 17:48:00
trip_5,581853838,0040-07-24 17:48:00
trip_5,48530519,0040-07-24 21:00:00
trip_6,48534978,2040-05-15 10:21:00
trip_6,Suna Spit,2040-05-15 10:21:00
trip_6,12674442354,2040-05-15 08:44:00
trip_6,30179401,2040-05-15 09:47:00
trip_6,9196630064,2040-05-15 10:21:00
trip_7,Suna Spit,0040-07-17 09:31:00
trip_7,36988183,0040-07-17 09:31:00
trip_7,Port Grove Ferry Terminal,0040-07-17 10:00:00
trip_7,Haacklee Ferry Terminal,0040-07-17 13:00:00
trip_7,South Paackland Ferry Terminal,0040-07-17 19:00:00
trip_7,582184557,0040-07-17 19:00:00
trip_7,581853838,0040-07-17 22:16:00
trip_7,37892464,0040-07-17 22:48:00
trip_7,Paackland Ferry Terminal,0040-07-17 23:00:00
trip_7,Himark Ferry Terminal,0040-07-18 03:00:00
trip_7,30179401,0040-07-18 03:00:00
trip_7,30188848,0040-07-18 03:00:00
trip_8,Haacklee Ferry Terminal,0040-06-26 21:00:00
trip_8,South Paackland Ferry Terminal,0040-06-26 19:00:00
trip_8,582184557,0040-06-26 17:09:00
trip_8,581853838,0040-06-26 17:09:00
trip_8,581717431,0040-06-26 17:26:00
trip_8,48580678,0040-06-26 21:00:00
trip_9,582184557,0040-04-24 11:40:00
trip_9,581853838,0040-04-24 11:40:00
trip_10,Suna Spit,2040-05-31 07:57:00
trip_10,48591000,2040-05-31 07:57:00
trip_10,9839219428,2040-05-31 06:41:00
trip_11,Haacklee Ferry Terminal,0040-07-10 21:00:00
trip_11,South Paackland Ferry Terminal,0040-07-10 19:00:00
trip_11,582184557,0040-07-10 17:58:00
trip_11,581853838,0040-07-10 17:58:00
trip_12,48534978,2040-07-08 11:39:00
trip_13,Haacklee Ferry Terminal,0040-07-10 09:00:00
trip_13,South Paackland Ferry Terminal,0040-07-10 14:00:00
trip_13,582184557,0040-07-10 14:00:00
trip_13,581853838,0040-07-10 17:28:00
trip_13,Paackland Ferry Terminal,0040-07-10 19:00:00
trip_13,Lomark Ferry Terminal,0040-07-10 21:00:00
trip_13,48591000,0040-07-10 21:36:00
trip_14,36988183,2040-04-22 07:12:00
trip_14,Suna Spit,2040-04-22 07:12:00
trip_14,30187146,2040-04-22 06:18:00
trip_15,Haacklee Ferry Terminal,0040-04-24 21:00:00
trip_15,South Paackland Ferry Terminal,0040-04-24 19:00:00
trip_15,582184557,0040-04-24 16:37:00
trip_15,581853838,0040-04-24 16:37:00
trip_15,48580678,0040-04-24 21:00:00
trip_16,Lomark Ferry Terminal,2040-04-08 21:00:00
trip_16,Paackland Ferry Terminal,2040-04-08 15:00:00
trip_16,37864373,2040-04-08 11:00:00
trip_16,2564179411,2040-04-08 11:06:00
trip_16,37799737,2040-04-08 11:06:00
trip_16,2564318352,2040-04-08 11:21:00
trip_16,48511187,2040-04-08 21:00:00
trip_17,48534978,2040-05-02 06:59:00
trip_17,Suna Spit,2040-05-02 07:36:00
trip_17,9196630064,2040-05-02 07:36:00
trip_17,36988183,2040-05-02 07:36:00
trip_17,8774871637,2040-05-02 07:36:00
trip_18,48534978,2040-05-17 08:35:00
trip_18,Suna Spit,2040-05-17 08:35:00
trip_18,36979025,2040-05-17 07:42:00
trip_19,Haacklee Ferry Terminal,0040-04-10 09:00:00
trip_19,South Paackland Ferry Terminal,0040-04-10 14:00:00
trip_19,582184557,0040-04-10 14:00:00
trip_19,581853838,0040-04-10 17:55:00
trip_19,2564179411,0040-04-10 18:09:00
trip_19,Paackland Ferry Terminal,0040-04-10 19:00:00
trip_19,Lomark Ferry Terminal,0040-04-10 21:00:00
trip_19,48511194,0040-04-10 21:00:00
trip_20,36988183,0040-05-27 06:46:00
trip_20,Haacklee Ferry Terminal,0040-05-27 13:00:00
trip_21,Lomark Ferry Terminal,2040-06-05 21:00:00
trip_21,Paackland Ferry Terminal,2040-06-05 19:00:00
trip_21,37799737,2040-06-05 15:00:00
trip_21,2564179411,2040-06-05 15:25:00
trip_21,37866955,2040-06-05 16:00:00
trip_22,35889122,0040-06-03 07:46:00
trip_22,36988183,0040-06-03 09:33:00
trip_23,Haacklee Ferry Terminal,0040-07-10 21:00:00
trip_23,South Paackland Ferry Terminal,0040-07-10 19:00:00
trip_23,582184557,0040-07-10 17:50:00
trip_23,581853838,0040-07-10 17:50:00
trip_23,48511187,0040-07-10 21:00:00
trip_24,Lomark Ferry Terminal,2040-04-07 21:00:00
trip_24,Paackland Ferry Terminal,2040-04-07 19:00:00
trip_24,2564318352,2040-04-07 15:12:00
trip_24,37799737,2040-04-07 15:12:00
trip_24,2564179411,2040-04-07 15:12:00
trip_24,37872598,2040-04-07 15:12:00
trip_24,48511187,2040-04-07 21:00:00
trip_25,30188848,2040-06-17 10:21:00
trip_25,30179401,2040-06-17 10:21:00
trip_26,582184557,0040-05-01 09:17:00
trip_26,581853838,0040-05-01 12:22:00
trip_26,37810321,0040-05-01 13:00:00
trip_27,37826661,2040-07-07 10:36:00
trip_27,37810321,2040-07-07 12:54:00
trip_27,37852571,2040-07-07 14:49:00
trip_28,Haacklee Ferry Terminal,2040-05-10 21:00:00
trip_28,South Paackland Ferry Terminal,2040-05-10 19:00:00
trip_28,2912844717,2040-05-10 14:00:00
trip_28,48530519,2040-05-10 21:00:00
trip_29,48534978,2040-07-16 12:15:00
trip_29,Suna Spit,2040-07-16 12:15:00
trip_29,4978801697,2040-07-16 10:26:00
trip_29,30188848,2040-07-16 11:23:00
trip_29,9196630064,2040-07-16 12:15:00
trip_30,Lomark Ferry Terminal,2040-05-17 21:00:00
trip_30,Paackland Ferry Terminal,2040-05-17 15:00:00
trip_30,37834631,2040-05-17 11:00:00
trip_30,48580678,2040-05-17 21:00:00
trip_31,Suna Spit,0040-07-04 06:30:00
trip_31,36988183,0040-07-03 08:23:00
trip_31,Port Grove Ferry Terminal,0040-07-03 10:00:00
trip_31,Haacklee Ferry Terminal,0040-07-03 13:00:00
trip_31,South Paackland Ferry Terminal,0040-07-03 19:00:00
trip_31,582184557,0040-07-03 19:00:00
trip_31,581853838,0040-07-03 21:36:00
trip_31,Paackland Ferry Terminal,0040-07-03 23:00:00
trip_31,Lomark Ferry Terminal,0040-07-04 06:00:00
trip_31,48591000,0040-07-04 06:30:00
trip_32,582261047,2040-06-06 07:37:00
trip_32,48542802,2040-06-06 07:37:00
trip_32,48568668,2040-06-06 09:01:00
trip_33,South Paackland Ferry Terminal,0040-06-04 19:00:00
trip_33,Haacklee Ferry Terminal,0040-06-04 13:00:00
trip_33,48475647,0040-06-04 09:19:12
trip_34,Suna Spit,2040-07-01 09:55:00
trip_34,36988183,2040-07-01 09:55:00
trip_34,35885796,2040-07-01 09:14:00
trip_35,Lomark Ferry Terminal,2040-04-04 21:00:00
trip_35,Paackland Ferry Terminal,2040-04-04 15:00:00
trip_35,581860792,2040-04-04 11:00:00
trip_36,2564318352,2040-05-25 07:02:00
trip_36,37828755,2040-05-25 07:56:00
trip_36,37826661,2040-05-25 08:24:00
trip_37,48534978,2040-06-20 07:20:00
trip_37,Suna Spit,2040-06-20 07:20:00
trip_37,2519420987,2040-06-20 07:20:00
trip_37,36952113,2040-06-20 06:23:00
trip_38,Haacklee Ferry Terminal,2040-04-14 21:00:00
trip_38,South Paackland Ferry Terminal,2040-04-14 19:00:00
trip_38,37831223,2040-04-14 14:00:00
trip_38,37799737,2040-04-14 15:06:00
trip_38,2564179411,2040-04-14 16:00:00
trip_39,30188848,2040-04-13 09:44:00
trip_39,4978801697,2040-04-13 09:44:00
trip_40,48542802,2040-06-15 07:10:00
trip_41,582184557,0040-04-10 10:25:00
trip_41,581853838,0040-04-10 10:25:00
trip_42,37826661,2040-06-09 07:04:00
trip_42,582199729,2040-06-09 07:04:00
trip_42,37852571,2040-06-09 08:23:00
trip_43,37799737,2040-04-04 09:42:00
trip_44,Haacklee Ferry Terminal,2040-06-07 21:00:00
trip_44,South Paackland Ferry Terminal,2040-06-07 19:00:00
trip_44,37862864,2040-06-07 14:00:00
trip_44,37866955,2040-06-07 15:59:00
trip_45,Lomark Ferry Terminal,2040-06-16 21:00:00
trip_45,Paackland Ferry Terminal,2040-06-16 19:00:00
trip_45,37828755,2040-06-16 15:51:00
trip_45,37833911,2040-06-16 15:51:00
trip_45,37866955,2040-06-16 17:20:00
trip_46,582184557,0040-05-08 09:59:00
trip_46,581853838,0040-05-08 09:59:00
trip_47,36988183,0040-04-10 09:31:00
trip_47,Suna Spit,0040-04-10 09:31:00
trip_47,30179401,0040-04-10 07:50:00
trip_47,4978801697,0040-04-10 08:38:00
trip_47,30188848,0040-04-10 09:31:00
trip_48,Lomark Ferry Terminal,2040-06-27 21:00:00
trip_48,Paackland Ferry Terminal,2040-06-27 15:00:00
trip_48,37831223,2040-06-27 11:00:00
trip_48,48530519,2040-06-27 21:00:00
trip_49,Suna Spit,0040-06-13 06:28:00
trip_49,36988183,0040-06-12 08:34:00
trip_49,Port Grove Ferry Terminal,0040-06-12 10:00:00
trip_49,Haacklee Ferry Terminal,0040-06-12 13:00:00
trip_49,South Paackland Ferry Terminal,0040-06-12 19:00:00
trip_49,582184557,0040-06-12 19:00:00
trip_49,581853838,0040-06-12 22:27:00
trip_49,Paackland Ferry Terminal,0040-06-12 23:00:00
trip_49,Lomark Ferry Terminal,0040-06-13 06:00:00
trip_49,48591000,0040-06-13 06:28:00
trip_50,48557904,2040-08-01 09:24:00
trip_50,48591000,2040-08-01 09:57:00
trip_50,48580678,2040-08-01 09:57:00
trip_51,Lomark Ferry Terminal,2040-06-25 21:00:00
trip_51,Paackland Ferry Terminal,2040-06-25 15:00:00
trip_51,37810321,2040-06-25 12:04:00
trip_51,37810347,2040-06-25 11:00:00
trip_52,Lomark Ferry Terminal,2040-07-11 21:00:00
trip_52,Paackland Ferry Terminal,2040-07-11 15:00:00
trip_52,37810321,2040-07-11 11:25:00
trip_52,48580702,2040-07-11 21:00:00
trip_53,Suna Spit,0040-04-04 06:28:00
trip_53,36988183,0040-04-03 08:28:00
trip_53,Port Grove Ferry Terminal,0040-04-03 10:00:00
trip_53,Haacklee Ferry Terminal,0040-04-03 13:00:00
trip_53,South Paackland Ferry Terminal,0040-04-03 19:00:00
