discussion_id,place_id
expanding_tourist_wharf_Travel_Harbor_Route_Solutions_Discussion_Tourist,35889363
expanding_tourist_wharf_Travel_Harbor_Route_Solutions_Completed_Discussion_Tourist,35889363
statue_john_smoth_Travel_The_Bait_Stich_Discussion,2519420987
statue_john_smoth_Travel_The_Bait_Stich_Completed_Discussion,2519420987
deep_fishing_dock_Travel_High_Seas_Fishing_Inc_Discussion,3753651731
deep_fishing_dock_Travel_High_Seas_Fishing_Inc_Completed_Discussion,3753651731
new_crane_lomark_Travel_Blue_Wave_Shipping_Discussion,491334376
new_crane_lomark_Travel_Blue_Wave_Shipping_Completed_Discussion,491334376
fish_vacuum_Travel_Bay_Harvest_Corporation_Discussion,30192735
fish_vacuum_Travel_Bay_Harvest_Corporation_Completed_Discussion,30192735
low_volume_crane_Travel_Harbor_Route_Solutions_Discussion,35889363
low_volume_crane_Travel_Harbor_Route_Solutions_Completed_Discussion_Crane,35889363
low_volume_crane_Travel_Harbor_Builders_Discussion,35922181
low_volume_crane_Travel_Haacklee_Assembly_Co_Discussion,35872967
low_volume_crane_Travel_Harbor_Builders_Completed_Discussion,35922181
low_volume_crane_Travel_Haacklee_Assembly_Co_Completed_Discussion,35872967
affordable_housing_Travel_Waveside_Townhomes_Discussion,48468290
affordable_housing_Travel_Waveside_Townhomes_Completed_Discussion,48468290
affordable_housing_Travel_Tidewater_Flats_Discussion,48480127
affordable_housing_Travel_Tidewater_Flats_Completed_Discussion,48480127
renaming_park_himark_Travel_Anchor_Way_Grill_Discussion,30188848
renaming_park_himark_Travel_Sailors_Perch_Light_Discussion,5849775342
renaming_park_himark_Travel_Himark_City_Hall_Discussion,9196630064
renaming_park_himark_Travel_Himark_City_Hall_Completed_Discussion,9196630064
renaming_park_himark_Travel_Anchor_Way_Grill_Completed_Discussion,30188848
renaming_park_himark_Travel_Sailors_Perch_Light_Completed_Discussion,5849775342
name_harbor_area_Travel_The_Bait_Stich_Discussion,2519420987
name_harbor_area_Travel_The_Bait_Stich_Completed_Discussion,2519420987
name_harbor_area_Travel_Harbor_Odyssey_Tours_Completed_Discussion,10803677425
name_inspection_office_Travel_Lomark_Civic_Plaza_Discussion,48475647
name_inspection_office_Travel_Lomark_Civic_Plaza_Completed_Discussion,48475647
marine_life_deck_Travel_Tropics_Environmental_Hub_Discussion,581717431
marine_life_deck_Travel_Tropics_Environmental_Hub_Completed_Discussion,581717431
seafood_festival_Travel_Dock_Roll_Hall_of_Fame_Discussion,37828755
seafood_festival_Travel_Dock_Roll_Hall_of_Fame_Completed_Discussion,37828755
heritage_walking_tour_Travel_Captain_Market_Discussion,35844638
heritage_walking_tour_Travel_Captain_Market_Completed_Discussion,35844638
waterfront_market_Travel_Harbor_Edge_Grill_Discussion,35908634
waterfront_market_Travel_Harborfront_Market_Discussion,35913119
waterfront_market_Travel_Harborfront_Market_Completed_Discussion,37831107
waterfront_market_Travel_Harbor_Edge_Grill_Completed_Discussion,35908634
concert_Travel_Packland_Elementary_Discussion,37831107
concert_Travel_Paakland_Elementary_Completed_Discussion,37831107
